Make,Model,Fuel type,Capacity,YoM,Mileage,Consumption,Country of manufacture,Body type,Service cost
FORD,F-250,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 220,000/year"
FORD,F-350,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 390,000/year"
FORD,F-350,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 355,000/year"
FORD,F-450,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 355,000/year"
FORD,F-450,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 330,000/year"
FORD,F-550,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 205,000/year"
FORD,F-550,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 250,000/year"
FORD,F-650,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 255,000/year"
FORD,F-750,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 305,000/year"
FORD,Transit Connect,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 250,000/year"
FORD,E-250,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 230,000/year"
FORD,E-250,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 375,000/year"
FORD,E-250,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 345,000/year"
FORD,E-350,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 280,000/year"
FORD,E-350,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 335,000/year"
FORD,E-350,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 250,000/year"
FORD,E-350,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 355,000/year"
FORD,E-450,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 290,000/year"
FORD,E-450,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 225,000/year"
FORD,E-450,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 255,000/year"
FORD,Motorhome Chassis,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 235,000/year"
FORD,Fiesta,Regular,1.6L,2013,13.6 km/L,7.4 L/100km,USA,Subcompact Cars,"KES 190,000/year"
FORD,Commercial Chassis,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 300,000/year"
FORD,C-Max,Regular,2.0L,2013,17.0 km/L,5.9 L/100km,USA,Large Cars,"KES 240,000/year"
FORD,'34,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 275,000/year"
FORD,Fords Trailer Sales,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 300,000/year"
FORD,Medford Steel,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 300,000/year"
FORD,Milford Pipe & Supply,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 390,000/year"
FORD,Stafford's Trailers,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 215,000/year"
FORD,Swinford Mfg,Regular,2.0L,2013,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 190,000/year"
FORD,Affordable Aluminum,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 580,000/year"
FORD,Travel Park,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 605,000/year"
FORD,Bradford Built,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 425,000/year"
FORD,CRANFORD RADIATOR INC.,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 670,000/year"
FORD,Eagle Ford Tanks & Trailers LLC,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 470,000/year"
FORD,Focus,Regular,2.0L,2014,12.8 km/L,7.8 L/100km,USA,Compact Cars,"KES 270,000/year"
FORD,Fusion,Regular,1.5L,2014,11.5 km/L,8.7 L/100km,USA,Midsize Cars,"KES 165,000/year"
FORD,Mustang,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 610,000/year"
FORD,Taurus,Regular,3.5L,2014,8.5 km/L,11.8 L/100km,USA,Large Cars,"KES 510,000/year"
FORD,E-150,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 650,000/year"
FORD,E-150,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 435,000/year"
FORD,E-150,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 595,000/year"
FORD,Edge,Regular,2.0L,2014,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 280,000/year"
FORD,Escape,Regular,1.6L,2014,11.1 km/L,9.0 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 220,000/year"
FORD,Expedition,Gasoline or E85,5.4L,2014,6.8 km/L,14.7 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 480,000/year"
FORD,Explorer,Regular,2.0L,2014,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 245,000/year"
FORD,F-150,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 645,000/year"
FORD,Flex,Regular,3.5L,2014,8.5 km/L,11.8 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 620,000/year"
FORD,F-250,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 415,000/year"
FORD,F-250,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 380,000/year"
FORD,F-350,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 685,000/year"
FORD,F-350,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 610,000/year"
FORD,F-450,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 735,000/year"
FORD,F-450,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 675,000/year"
FORD,F-550,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 540,000/year"
FORD,F-550,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 520,000/year"
FORD,F-650,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 570,000/year"
FORD,F-750,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 480,000/year"
FORD,Transit Connect,Regular,2.5L,2014,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 360,000/year"
FORD,E-250,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 540,000/year"
FORD,E-250,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 570,000/year"
FORD,E-250,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 450,000/year"
FORD,E-350,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 660,000/year"
FORD,E-350,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 430,000/year"
FORD,E-350,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 530,000/year"
FORD,E-350,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 560,000/year"
FORD,E-450,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 465,000/year"
FORD,E-450,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 350,000/year"
FORD,E-450,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 600,000/year"
FORD,Motorhome Chassis,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 495,000/year"
FORD,Fiesta,Regular,1.6L,2014,12.8 km/L,7.8 L/100km,USA,Subcompact Cars,"KES 220,000/year"
FORD,Commercial Chassis,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 435,000/year"
FORD,C-Max,Regular Gas and Electricity,2.0L,2014,16.2 km/L,6.2 L/100km,USA,Midsize Cars,"KES 280,000/year"
FORD,'34,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 580,000/year"
FORD,Fords Trailer Sales,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 465,000/year"
FORD,Medford Steel,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 475,000/year"
FORD,Milford Pipe & Supply,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 425,000/year"
FORD,Stafford's Trailers,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 570,000/year"
FORD,Swinford Mfg,Regular,3.7L,2014,9.4 km/L,10.7 L/100km,USA,Subcompact Cars,"KES 645,000/year"
FORD,Affordable Aluminum,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 455,000/year"
FORD,Travel Park,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 380,000/year"
FORD,Bradford Built,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 655,000/year"
FORD,CRANFORD RADIATOR INC.,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 395,000/year"
FORD,Eagle Ford Tanks & Trailers LLC,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 395,000/year"
FORD,Focus,Regular,1.0L,2015,13.6 km/L,7.4 L/100km,USA,Compact Cars,"KES 110,000/year"
FORD,Fusion,Regular,2.0L,2015,10.6 km/L,9.4 L/100km,USA,Midsize Cars,"KES 180,000/year"
FORD,Mustang,Regular,3.7L,2015,8.9 km/L,11.2 L/100km,USA,Subcompact Cars,"KES 475,000/year"
FORD,Taurus,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 420,000/year"
FORD,Edge,Regular,2.0L,2015,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 205,000/year"
FORD,Escape,Regular,1.6L,2015,11.1 km/L,9.0 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 155,000/year"
FORD,Expedition,Regular,3.5L,2015,7.7 km/L,13.1 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 415,000/year"
FORD,Explorer,Regular,2.0L,2015,9.8 km/L,10.2 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 220,000/year"
FORD,F-150,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 435,000/year"
FORD,Flex,Regular,3.5L,2015,8.5 km/L,11.8 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 420,000/year"
FORD,F-250,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 725,000/year"
FORD,F-250,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 675,000/year"
FORD,F-350,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 385,000/year"
FORD,F-350,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 595,000/year"
FORD,F-450,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 395,000/year"
FORD,F-450,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 480,000/year"
FORD,F-550,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 635,000/year"
FORD,F-550,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 575,000/year"
FORD,F-650,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 500,000/year"
FORD,F-750,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 575,000/year"
FORD,Transit Connect,Regular,2.5L,2015,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 275,000/year"
FORD,E-350,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 535,000/year"
FORD,E-450,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 590,000/year"
FORD,Expedition MAX,Regular,3.5L,2015,7.7 km/L,13.1 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 545,000/year"
FORD,Motorhome Chassis,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 330,000/year"
FORD,Fiesta,Regular,1.6L,2015,12.8 km/L,7.8 L/100km,USA,Subcompact Cars,"KES 140,000/year"
FORD,Commercial Chassis,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 475,000/year"
FORD,C-Max,Regular,2.0L,2015,16.6 km/L,6.0 L/100km,USA,Large Cars,"KES 160,000/year"
FORD,Transit,Gasoline or E85,3.7L,2015,6.8 km/L,14.7 L/100km,USA,"Vans, Passenger Type","KES 415,000/year"
FORD,Transit,Gasoline or E85,3.7L,2015,6.8 km/L,14.7 L/100km,USA,"Vans, Passenger Type","KES 595,000/year"
FORD,Transit,Gasoline or E85,3.7L,2015,6.8 km/L,14.7 L/100km,USA,"Vans, Passenger Type","KES 480,000/year"
FORD,Transit,Gasoline or E85,3.7L,2015,6.8 km/L,14.7 L/100km,USA,"Vans, Passenger Type","KES 615,000/year"
FORD,E-550,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 505,000/year"
FORD,'34,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 455,000/year"
FORD,Fords Trailer Sales,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 595,000/year"
FORD,Medford Steel,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 495,000/year"
FORD,Milford Pipe & Supply,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 705,000/year"
FORD,Stafford's Trailers,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 490,000/year"
FORD,Swinford Mfg,Gasoline or E85,3.5L,2015,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 765,000/year"
FORD,Affordable Aluminum,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 140,000/year"
FORD,Travel Park,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 180,000/year"
FORD,Bradford Built,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 120,000/year"
FORD,CRANFORD RADIATOR INC.,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 150,000/year"
FORD,Eagle Ford Tanks & Trailers LLC,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 100,000/year"
FORD,Focus,Electricity,UnknownL,2016,44.6 km/L,2.2 L/100km,USA,Compact Cars,"KES 175,000/year"
FORD,Fusion,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 160,000/year"
FORD,Mustang,Regular,2.3L,2016,10.6 km/L,9.4 L/100km,USA,Subcompact Cars,"KES 250,000/year"
FORD,Taurus,Regular,2.0L,2016,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 180,000/year"
FORD,Edge,Regular,2.0L,2016,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 200,000/year"
FORD,Escape,Regular,1.6L,2016,11.1 km/L,9.0 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 175,000/year"
FORD,Expedition,Regular,3.5L,2016,7.2 km/L,13.8 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 675,000/year"
FORD,Explorer,Gasoline or E85,3.5L,2016,8.5 km/L,11.8 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 695,000/year"
FORD,F-150,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 130,000/year"
FORD,Flex,Regular,3.5L,2016,8.1 km/L,12.4 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 530,000/year"
FORD,F-250,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 100,000/year"
FORD,F-250,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 160,000/year"
FORD,F-350,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 140,000/year"
FORD,F-350,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 115,000/year"
FORD,F-450,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 105,000/year"
FORD,F-450,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 155,000/year"
FORD,F-550,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 130,000/year"
FORD,F-550,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 170,000/year"
FORD,F-650,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 155,000/year"
FORD,F-750,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 135,000/year"
FORD,Transit Connect,Regular,1.6L,2016,10.6 km/L,9.4 L/100km,USA,Special Purpose Vehicle 2WD,"KES 140,000/year"
FORD,E-350,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 160,000/year"
FORD,E-450,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 140,000/year"
FORD,Expedition MAX,Regular,3.5L,2016,7.2 km/L,13.8 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 370,000/year"
FORD,Motorhome Chassis,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 155,000/year"
FORD,Fiesta,Regular,1.6L,2016,12.8 km/L,7.8 L/100km,USA,Subcompact Cars,"KES 165,000/year"
FORD,Commercial Chassis,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 90,000/year"
FORD,C-Max,Regular,2.0L,2016,16.6 km/L,6.0 L/100km,USA,Large Cars,"KES 240,000/year"
FORD,Transit,Regular,1.6L,2016,10.6 km/L,9.4 L/100km,USA,Special Purpose Vehicle 2WD,"KES 155,000/year"
FORD,Transit,Regular,1.6L,2016,10.6 km/L,9.4 L/100km,USA,Special Purpose Vehicle 2WD,"KES 155,000/year"
FORD,Transit,Regular,1.6L,2016,10.6 km/L,9.4 L/100km,USA,Special Purpose Vehicle 2WD,"KES 155,000/year"
FORD,Transit,Regular,1.6L,2016,10.6 km/L,9.4 L/100km,USA,Special Purpose Vehicle 2WD,"KES 195,000/year"
FORD,'34,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 115,000/year"
FORD,Fords Trailer Sales,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 135,000/year"
FORD,Medford Steel,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 120,000/year"
FORD,Milford Pipe & Supply,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 175,000/year"
FORD,Stafford's Trailers,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 155,000/year"
FORD,Swinford Mfg,Regular,1.5L,2016,12.3 km/L,8.1 L/100km,USA,Midsize Cars,"KES 80,000/year"
FORD,Affordable Aluminum,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 355,000/year"
FORD,Travel Park,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 400,000/year"
FORD,Bradford #1,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 455,000/year"
FORD,Bradford Built,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 500,000/year"
FORD,CRANFORD RADIATOR INC.,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 290,000/year"
FORD,Eagle Ford Tanks & Trailers LLC,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 345,000/year"
FORD,Focus,Premium,2.3L,2017,9.4 km/L,10.7 L/100km,USA,Midsize Cars,"KES 225,000/year"
FORD,Fusion,Regular,2.0L,2017,9.8 km/L,10.2 L/100km,USA,Midsize Cars,"KES 185,000/year"
FORD,Mustang,Premium,5.2L,2017,6.8 km/L,14.7 L/100km,USA,Subcompact Cars,"KES 445,000/year"
FORD,Taurus,Regular,2.0L,2017,9.8 km/L,10.2 L/100km,USA,Large Cars,"KES 210,000/year"
FORD,Edge,Regular,2.0L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 175,000/year"
FORD,Escape,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 350,000/year"
FORD,Expedition,Regular,3.5L,2017,7.7 km/L,13.1 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 395,000/year"
FORD,Explorer,Regular,2.3L,2017,9.4 km/L,10.7 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 210,000/year"
FORD,F-150,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 360,000/year"
FORD,Flex,Regular,3.5L,2017,8.1 km/L,12.4 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 615,000/year"
FORD,F-250,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 350,000/year"
FORD,F-250,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 405,000/year"
FORD,F-350,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 280,000/year"
FORD,F-350,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 375,000/year"
FORD,F-450,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 355,000/year"
FORD,F-450,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 465,000/year"
FORD,F-550,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 250,000/year"
FORD,F-550,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 400,000/year"
FORD,F-650,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 440,000/year"
FORD,F-750,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 490,000/year"
FORD,Transit Connect,Gasoline or E85,2.5L,2017,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 405,000/year"
FORD,E-350,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 350,000/year"
FORD,E-450,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 440,000/year"
FORD,GT,Premium,5.2L,2017,6.8 km/L,14.7 L/100km,USA,Subcompact Cars,"KES 445,000/year"
FORD,Motorhome Chassis,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 350,000/year"
FORD,Fiesta,Regular,1.6L,2017,13.2 km/L,7.6 L/100km,USA,Subcompact Cars,"KES 175,000/year"
FORD,Commercial Chassis,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 445,000/year"
FORD,C-Max,Regular,2.0L,2017,17.0 km/L,5.9 L/100km,USA,Large Cars,"KES 310,000/year"
FORD,Transit,Gasoline or E85,2.5L,2017,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 275,000/year"
FORD,Transit,Gasoline or E85,2.5L,2017,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 335,000/year"
FORD,Transit,Gasoline or E85,2.5L,2017,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 495,000/year"
FORD,Transit,Gasoline or E85,2.5L,2017,9.8 km/L,10.2 L/100km,USA,Special Purpose Vehicle 2WD,"KES 325,000/year"
FORD,'34,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 290,000/year"
FORD,Expedition EL,Regular,3.5L,2017,7.2 km/L,13.8 L/100km,USA,Standard Sport Utility Vehicle 2WD,"KES 705,000/year"
FORD,Fords Trailer Sales,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 255,000/year"
FORD,Medford Steel,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 400,000/year"
FORD,Milford Pipe & Supply,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 295,000/year"
FORD,Stafford's Trailers,Regular,2.5L,2017,10.2 km/L,9.8 L/100km,USA,Small Sport Utility Vehicle 2WD,"KES 475,000/year"
